,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[35845],0.137753,0.0103057,0.579988,-0.961785,0.20399,0.917358,3167.27,1.2622,1.00044
log_lik[35846],1.21006,0.00394907,0.147401,0.955702,1.21778,1.44185,1393.2,0.555207,1.00136
log_lik[35847],0.754156,0.00157092,0.095167,0.590475,0.759928,0.896292,3669.99,1.46254,0.999706
log_lik[35848],-2.52273,0.00714913,0.412794,-3.23487,-2.50174,-1.87596,3333.96,1.32863,0.999618
log_lik[35849],1.46442,0.00133931,0.061032,1.36089,1.46645,1.56151,2076.6,0.827555,0.999795
log_lik[35850],1.4633,0.00130164,0.0604076,1.36048,1.4653,1.5586,2153.78,0.858312,0.999808
log_lik[35851],0.808735,0.00158284,0.0958011,0.642884,0.815238,0.951859,3663.23,1.45985,0.999731
log_lik[35852],0.810441,0.00214912,0.122904,0.596612,0.817768,0.996425,3270.44,1.30332,1.00163
log_lik[35853],0.996488,0.00213035,0.0719796,0.87537,0.99826,1.11154,1141.61,0.454946,1.00115
log_lik[35854],1.71645,0.000976188,0.0579072,1.61839,1.7179,1.80951,3518.83,1.4023,1.0008
log_lik[35855],-1.25121,0.00385137,0.248315,-1.68659,-1.2458,-0.864777,4156.94,1.6566,1.0013
log_lik[35856],1.64231,0.00228657,0.0999113,1.4696,1.64705,1.79677,1909.24,0.76086,1.00227
log_lik[35857],-0.913795,0.0113177,0.58795,-1.92631,-0.880655,-0.00142121,2698.77,1.0755,1.00013
log_lik[35858],1.11,0.00167812,0.10209,0.934602,1.11683,1.26373,3701.0,1.4749,0.999895
log_lik[35859],1.28167,0.00126822,0.063195,1.17426,1.2831,1.38073,2483.01,0.989515,0.999766
log_lik[35860],1.41635,0.0024847,0.103551,1.2358,1.42224,1.57939,1736.83,0.69215,1.00285
log_lik[35861],1.69877,0.000979136,0.0589376,1.60004,1.70036,1.79305,3623.26,1.44392,1.00082
log_lik[35862],0.37085,0.00198544,0.106976,0.18394,0.375062,0.538875,2903.05,1.15691,1.00194
log_lik[35863],1.51932,0.00123983,0.0596343,1.41782,1.52118,1.61212,2313.48,0.921951,0.999806
log_lik[35864],-0.12344,0.00898507,0.420787,-0.842561,-0.101508,0.534404,2193.22,0.874026,1.00025
log_lik[35865],-2.15581,0.0159869,0.892788,-3.69185,-2.08468,-0.804514,3118.68,1.24284,1.0002
log_lik[35866],-5.42846,0.0192752,0.935551,-7.04367,-5.35958,-3.96629,2355.78,0.938812,0.999687
log_lik[35867],0.590414,0.00209636,0.1252,0.376502,0.598701,0.775896,3566.76,1.4214,1.00002
log_lik[35868],1.32403,0.0012181,0.063536,1.21655,1.32562,1.42404,2720.67,1.08422,0.999835
log_lik[35869],1.13921,0.00141282,0.0618495,1.03453,1.14077,1.23926,1916.47,0.763738,0.999882
log_lik[35870],-0.687356,0.00497974,0.268832,-1.15256,-0.673209,-0.273785,2914.39,1.16142,1.00112
log_lik[35871],0.218017,0.00508173,0.181377,-0.084302,0.220696,0.512809,1273.91,0.507671,1.00034
log_lik[35872],0.460348,0.00226858,0.0837476,0.311112,0.466694,0.591761,1362.82,0.543101,1.00024
log_lik[35873],2.2665,0.000956821,0.0516392,2.17792,2.26712,2.34868,2912.72,1.16076,0.999819
log_lik[35874],1.85181,0.00114962,0.0660342,1.73891,1.85429,1.95643,3299.34,1.31483,1.00048
log_lik[35875],1.81451,0.00122018,0.0693819,1.69816,1.81801,1.92443,3233.26,1.2885,1.00051
log_lik[35876],2.0991,0.00100975,0.0557476,2.00502,2.10099,2.18689,3048.05,1.21469,0.999969
log_lik[35877],0.310195,0.00368786,0.104731,0.1231,0.319947,0.466014,806.494,0.321399,1.00118
log_lik[35878],1.81025,0.00122976,0.0698887,1.69251,1.81384,1.92152,3229.76,1.2871,1.00051
log_lik[35879],0.976378,0.0022929,0.12344,0.762198,0.981672,1.16553,2898.29,1.15501,1.0013
log_lik[35880],1.17565,0.00195944,0.108653,0.990111,1.18056,1.34289,3074.79,1.22534,1.00124
log_lik[35881],2.26176,0.000960085,0.0519096,2.17268,2.26239,2.34411,2923.32,1.16498,0.999812
log_lik[35882],0.307339,0.00334175,0.180642,-0.00707684,0.317631,0.581862,2922.06,1.16448,1.00124
log_lik[35883],0.181768,0.00368376,0.108871,-0.0146858,0.192323,0.347839,873.462,0.348087,1.00079
log_lik[35884],2.23807,0.000975152,0.053089,2.14787,2.23879,2.32196,2963.9,1.18115,0.999791
log_lik[35885],2.30314,0.000946858,0.0508518,2.21701,2.30401,2.38408,2884.32,1.14944,0.999855
log_lik[35886],0.311041,0.00366204,0.104291,0.125821,0.32057,0.465946,811.044,0.323212,1.00117
log_lik[35887],1.81594,0.00117516,0.0679465,1.69743,1.81832,1.92365,3343.01,1.33223,1.00055
log_lik[35888],0.649829,0.00361559,0.100008,0.478811,0.657253,0.797401,765.084,0.304896,1.00232
log_lik[35889],2.2497,0.000974907,0.0530826,2.15936,2.25054,2.33365,2964.68,1.18147,0.999779
log_lik[35890],2.47526,0.00121588,0.0590372,2.37709,2.47611,2.57122,2357.62,0.939543,1.00157
log_lik[35891],1.96192,0.00108828,0.0614294,1.85699,1.96462,2.05966,3186.21,1.26975,1.00024
log_lik[35892],1.6355,0.00136769,0.0784051,1.50136,1.63886,1.76041,3286.36,1.30966,1.00084
log_lik[35893],2.46554,0.000917827,0.0494704,2.38246,2.466,2.54591,2905.15,1.15774,1.0004
log_lik[35894],2.25917,0.00095909,0.0518186,2.17,2.25987,2.34151,2919.12,1.16331,0.999816
log_lik[35895],1.84182,0.00116406,0.0666337,1.72704,1.84471,1.94775,3276.69,1.30581,1.0005
log_lik[35896],-1.03234,0.00447824,0.197788,-1.37776,-1.02,-0.732222,1950.68,0.777372,0.999874
log_lik[35897],2.07905,0.00102835,0.0570417,1.98232,2.08122,2.17061,3076.83,1.22616,0.999997
log_lik[35898],1.80173,0.00119216,0.0685881,1.68319,1.80435,1.91114,3310.03,1.31909,1.00058
log_lik[35899],2.12161,0.00100683,0.0554763,2.02697,2.12312,2.20904,3036.01,1.20989,0.999927
log_lik[35900],1.78983,0.00120359,0.0692247,1.67049,1.7923,1.90009,3307.98,1.31828,1.0006
log_lik[35901],2.37562,0.000937647,0.0504131,2.29136,2.37692,2.45581,2890.73,1.15199,0.999951
log_lik[35902],0.879222,0.00261954,0.131808,0.649022,0.886294,1.08039,2531.84,1.00897,1.00131
log_lik[35903],0.521019,0.00361967,0.100109,0.345593,0.528514,0.666728,764.913,0.304828,1.00188
log_lik[35904],2.53732,0.000910982,0.0491386,2.45508,2.53693,2.61878,2909.55,1.15949,1.00095
log_lik[35905],2.45415,0.000921462,0.0496747,2.37107,2.45463,2.53503,2906.13,1.15813,1.00039
log_lik[35906],1.89539,0.00113676,0.0645279,1.78565,1.89823,1.99806,3222.22,1.2841,1.00038
log_lik[35907],-3.89187,0.0106855,0.567988,-4.85305,-3.85648,-3.01752,2825.44,1.12597,1.00091
log_lik[35908],1.61159,0.00137266,0.0793011,1.47739,1.61489,1.7367,3337.61,1.33008,1.00089
log_lik[35909],2.37675,0.000936721,0.0503326,2.29259,2.37805,2.45717,2887.22,1.15059,0.999965
log_lik[35910],0.298907,0.0033279,0.102176,0.113232,0.306756,0.453545,942.669,0.375666,1.00098
